cuenta,valor,ano,mes,entidad
Efectivo y equivalente de efectivo,2845265295,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Inversiones en instrumentos financieros,27137303470,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
A valor razonable con cambios en resultados,25273567032,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
A valor razonable Instrumentos Financieros Derivados,273640867.5,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
A valor razonable con cambios en ORI,1008069795,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
A costo amortizado,582025775.4,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Operaciones de compra al contado con venta a plazos,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Cuentas por cobrar en operaciones de cartera propia,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Deudores por intermediación,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Cuentas por cobrar relacionadas,286617590.6,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Otras cuentas por cobrar,6561572.97,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Impuestos pagados por anticipado,87223389.94,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Impuestos diferidos,251221666,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Inversiones en sociedades,199711787.2,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Activos intangibles,4498589.93,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
"Propiedad, planta y equipo",13141234.64,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Derecho de uso,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Propiedades de Inversión,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Otros activos,306926228.4,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
TOTAL DE ACTIVOS,31138470824,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Pasivos financieros,5768912814,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
A valor razonable,6630315.1,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
A valor razonable-instrumento financieros derivados,61855432.31,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
A costo amortizado,5700427066,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Obligaciones por financiamiento,3.95,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Obligaciones por instrumentos financieros Emitidos,2215284247,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Obligaciones con entidades de intermediación financiera,3485142816,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Operaciones de venta al contado con compra a plazo,21068463528,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Acreedores por intermediación,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Cuentas por pagar relacionadas,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Otras cuentas por pagar,73291528.89,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Provisiones,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Acumulaciones y otras obligaciones,81203717.93,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Arrendamientos,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Impuesto por pagar,227310822.2,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Impuesto diferidos,21955219,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Otros pasivos,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
TOTAL DE PASIVOS,27241137630,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Capital,900000000,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Aportes para futura capitalización,137.55,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Acciones en Tesorería,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Reserva legal,90000000,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Reservas de capital,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Resultados acumulados,2658393322,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Resultados del ejercicio,25089191.59,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Superávit por revaluación,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Otro resultado integral,223850542.8,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
TOTAL DE PATRIMONIO,3897333194,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
TOTAL DE PASIVOS Y PATRIMONIO,31138470824,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
A valor razonable,-58611798.36,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
A valor razonable - Instrumentos financieros derivados,220047388.3,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
A costo amortizado,-125588082.6,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Total resultados por instrumentos financieros,35847507.39,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Ingresos por administración de cartera,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Ingresos por custodia de valores,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Ingresos por asesorías financieras,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Otros ingresos por servicios,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Total ingresos por servicios,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Comisiones por operaciones bursátiles y extrabursátiles,434009.34,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Gastos por comisiones y servicios,-5352979.12,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Otras comisiones,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Total resultados por intermediación,-4918969.78,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Gastos por financiamientos por Instrumentos financieros emitidos,-13822602.71,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Gastos por financiamientos con entidades de intermediación financiera,-9158341.78,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Gastos por arrendamientos,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Total gastos financieros,-22980944.49,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Gastos de administración y comercialización,-42021586.81,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Reajuste y diferencia de cambio,56505162.04,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Resultado de inversiones en sociedades,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Otros ingresos (gastos),2658023.24,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Operaciones descontinuadas (neto),0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Total otros resultados,59163185.28,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Resultado antes de impuesto a la renta,25089191.59,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Impuesto sobre la renta,0,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
UTILIDAD DEL EJERCICIO,25089191.59,2022,1,"ALPHA SOCIEDAD DE VALORES, S.A."
Efectivo y equivalente de efectivo,175338842,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Inversiones en instrumentos financieros,4015683374,2022,1,"BHD PUESTO DE BOLSA, S.A. "
A valor razonable con cambios en resultados,3898903675,2022,1,"BHD PUESTO DE BOLSA, S.A. "
A valor razonable Instrumentos Financieros Derivados,4095833.94,2022,1,"BHD PUESTO DE BOLSA, S.A. "
A valor razonable con cambios en ORI,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
A costo amortizado,112683865.5,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Operaciones de compra al contado con venta a plazos,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Cuentas por cobrar en operaciones de cartera propia,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Deudores por intermediación,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Cuentas por cobrar relacionadas,121033.91,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Otras cuentas por cobrar,11344684.71,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Impuestos pagados por anticipado,17856698.57,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Impuestos diferidos,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Inversiones en sociedades,3424080,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Activos intangibles,2998974.48,2022,1,"BHD PUESTO DE BOLSA, S.A. "
"Propiedad, planta y equipo",2423992.84,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Derecho de uso,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Propiedades de Inversión,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Otros activos,162159.3,2022,1,"BHD PUESTO DE BOLSA, S.A. "
TOTAL DE ACTIVOS,4229353840,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Pasivos financieros,19305464.88,2022,1,"BHD PUESTO DE BOLSA, S.A. "
A valor razonable,1505595.36,2022,1,"BHD PUESTO DE BOLSA, S.A. "
A valor razonable-instrumento financieros derivados,11589898.77,2022,1,"BHD PUESTO DE BOLSA, S.A. "
A costo amortizado,6209970.75,2022,1,"BHD PUESTO DE BOLSA, S.A. "
